name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Tim Duncan,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,2173,15,25,0,0,6,8,6,11,3,0,1,2,1,31.6,17.12.2007
Mike Dunleavy,INDIANA PACERS,AWAY,NEW YORK KNICKS,WIN,2214,13,18,3,5,7,7,0,7,4,1,0,3,2,30.7,17.12.2007
Carlos Boozer,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,2536,15,24,0,0,9,14,4,8,2,2,0,2,6,30.4,17.12.2007
Rudy Gay,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,LOSS,2245,11,18,1,3,9,10,1,3,2,1,1,1,6,24.7,17.12.2007
Brandon Roy,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS HORNETS,WIN,2227,10,17,2,4,2,2,2,1,8,2,0,2,0,23.4,17.12.2007
Stephen Jackson,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,WIN,2520,11,22,2,9,4,6,0,12,5,2,1,2,2,23.2,17.12.2007
Tyson Chandler,NEW ORLEANS HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2606,8,8,0,0,0,0,12,7,1,1,1,2,5,22.5,17.12.2007
Hedo Turkoglu,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,2543,10,14,2,2,4,5,1,5,4,0,0,1,5,21.8,17.12.2007
Dirk Nowitzki,DALLAS MAVERICKS,HOME,ORLANDO MAGIC,WIN,2406,12,24,1,4,6,6,1,10,4,0,0,3,3,21.3,17.12.2007
Al Jefferson,MINNESOTA TIMBERWOLVES,AWAY,MIAMI HEAT,LOSS,2240,8,18,0,0,6,7,6,14,2,2,1,2,4,21.1,17.12.2007
Dwight Howard,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,2163,9,16,0,0,4,5,1,12,5,2,1,2,4,20.9,17.12.2007
Ronnie Brewer,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,2343,9,11,0,0,1,2,4,0,3,4,0,1,4,20.8,17.12.2007
LeBron James,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,3013,10,25,0,5,11,13,1,7,5,1,0,2,3,20.8,17.12.2007
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,2435,11,22,0,0,2,2,5,6,1,2,3,2,3,19.9,17.12.2007
Marvin Williams,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,2877,5,8,0,0,11,12,2,4,3,3,0,4,2,19.9,17.12.2007
Zach Randolph,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,2317,11,20,2,3,2,2,3,6,3,2,1,5,1,19.7,17.12.2007
Dwyane Wade,MIAMI HEAT,HOME,MINNESOTA TIMBERWOLVES,WIN,2394,6,22,0,0,18,20,2,2,4,2,0,3,2,19.2,17.12.2007
