name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Kobe Bryant,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,3084,15,27,2,3,20,27,1,10,4,1,2,5,2,39.4,2.3.2008
Mike Dunleavy,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,2062,11,17,4,6,10,12,1,4,3,2,1,0,3,33.2,2.3.2008
Beno Udrih,SACRAMENTO KINGS,HOME,MIAMI HEAT,WIN,2354,9,12,2,2,3,3,0,4,9,3,0,0,2,27.9,2.3.2008
LeBron James,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,2391,15,29,0,5,7,8,3,3,6,1,0,3,1,27.1,2.3.2008
Antawn Jamison,WASHINGTON WIZARDS,HOME,NEW ORLEANS HORNETS,WIN,2231,10,20,2,5,6,6,2,7,2,2,1,1,2,23.8,2.3.2008
Dirk Nowitzki,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,2671,10,26,3,7,7,8,2,11,5,2,2,2,4,23.4,2.3.2008
Metta World Peace,SACRAMENTO KINGS,HOME,MIAMI HEAT,WIN,2333,12,22,4,6,4,4,1,2,2,1,0,2,1,22.7,2.3.2008
Paul Pierce,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,2066,10,19,3,7,7,8,2,4,1,0,2,2,1,22.6,2.3.2008
Tony Parker,SAN ANTONIO SPURS,AWAY,NEW JERSEY NETS,WIN,2001,10,18,0,0,5,6,1,7,7,1,0,2,2,21.9,2.3.2008
Stephen Jackson,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,2677,9,21,6,11,5,6,1,8,1,1,2,1,4,21.1,2.3.2008
Monta Ellis,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,2604,9,16,0,0,4,4,4,6,6,1,0,2,3,21.0,2.3.2008
Pau Gasol,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,2647,5,14,0,0,7,8,5,9,5,3,2,1,3,20.7,2.3.2008
Al Jefferson,MINNESOTA TIMBERWOLVES,HOME,SEATTLE SUPERSONICS,LOSS,2473,13,29,0,0,4,7,7,5,5,0,0,2,3,20.4,2.3.2008
Jason Richardson,CHARLOTTE BOBCATS,HOME,TORONTO RAPTORS,WIN,2619,10,24,3,8,7,7,1,6,3,1,0,1,4,20.2,2.3.2008
Danny Granger,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,2281,9,21,1,5,8,8,3,6,3,1,1,2,5,19.6,2.3.2008
Jason Williams,MIAMI HEAT,AWAY,SACRAMENTO KINGS,LOSS,1861,6,11,4,5,2,2,1,4,8,1,0,0,4,19.6,2.3.2008
Jared Dudley,CHARLOTTE BOBCATS,HOME,TORONTO RAPTORS,WIN,2219,5,7,1,1,6,6,6,4,0,1,0,0,4,18.9,2.3.2008
Kevin Martin,SACRAMENTO KINGS,HOME,MIAMI HEAT,WIN,2262,6,12,3,4,14,17,1,3,0,1,0,4,4,18.8,2.3.2008
Anthony Parker,TORONTO RAPTORS,AWAY,CHARLOTTE BOBCATS,LOSS,2306,10,19,2,6,2,2,1,5,2,2,1,1,3,18.8,2.3.2008
Dwyane Wade,MIAMI HEAT,AWAY,SACRAMENTO KINGS,LOSS,2377,8,15,1,5,9,10,0,2,7,0,0,4,3,18.6,2.3.2008
Michael Redd,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,2001,9,20,2,5,8,9,2,1,0,0,0,0,1,18.5,2.3.2008
Erick Dampier,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,1843,7,7,0,0,2,5,6,11,2,1,0,2,6,18.2,2.3.2008
Brandon Roy,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2215,10,23,2,6,4,5,1,5,3,2,0,1,2,18.0,2.3.2008
Chris Wilcox,SEATTLE SUPERSONICS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2562,8,15,0,0,2,3,3,12,2,0,3,0,4,17.9,2.3.2008
Shawn Marion,MIAMI HEAT,AWAY,SACRAMENTO KINGS,LOSS,2431,7,12,1,3,4,4,1,7,2,0,1,0,3,17.1,2.3.2008
Travis Diener,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1903,5,10,2,3,3,3,0,0,6,4,0,1,1,16.8,2.3.2008
Kevin Garnett,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,2120,9,18,0,0,2,2,3,13,3,2,0,4,1,16.7,2.3.2008
Kendrick Perkins,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,1842,4,5,0,0,3,5,3,9,6,0,4,1,6,16.7,2.3.2008
Shane Battier,HOUSTON ROCKETS,HOME,DENVER NUGGETS,WIN,2529,7,15,5,10,1,1,1,4,3,1,2,1,3,16.5,2.3.2008
Vince Carter,NEW JERSEY NETS,HOME,SAN ANTONIO SPURS,LOSS,2121,9,18,1,2,2,3,3,5,1,2,1,1,4,16.0,2.3.2008
Jason Kidd,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,2813,6,17,3,5,0,1,1,5,11,4,0,1,5,16.0,2.3.2008
Earl Watson,SEATTLE SUPERSONICS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1932,6,7,1,2,2,2,0,2,9,2,0,5,1,16.0,2.3.2008
Craig Smith,MINNESOTA TIMBERWOLVES,HOME,SEATTLE SUPERSONICS,LOSS,1965,6,9,0,0,3,5,2,2,5,3,0,2,3,15.6,2.3.2008
Ray Allen,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,2440,7,11,3,6,0,0,2,2,1,2,1,1,3,15.3,2.3.2008
Luke Ridnour,SEATTLE SUPERSONICS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1268,5,8,1,1,2,2,0,1,7,1,0,0,1,15.2,2.3.2008
Rafer Alston,HOUSTON ROCKETS,HOME,DENVER NUGGETS,WIN,1937,7,15,2,4,0,0,0,3,8,2,0,1,2,15.0,2.3.2008
Larry Hughes,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,2582,8,20,2,8,5,6,0,5,4,1,1,2,2,15.0,2.3.2008
Raymond Felton,CHARLOTTE BOBCATS,HOME,TORONTO RAPTORS,WIN,2381,6,19,1,3,4,4,3,2,8,1,1,1,1,14.7,2.3.2008
Tracy McGrady,HOUSTON ROCKETS,HOME,DENVER NUGGETS,WIN,2485,10,21,1,6,1,2,2,4,6,3,0,6,0,14.7,2.3.2008
Al Horford,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,2293,5,9,0,0,4,6,3,8,0,1,2,0,3,14.6,2.3.2008
