name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Bradley Beal,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2585,21,37,5,12,4,5,1,2,2,0,0,2,2,33.0,5.12.2017
Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,2295,12,25,2,9,8,9,0,12,14,1,1,7,3,27.8,5.12.2017
Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,LOSS,2572,10,23,3,9,7,7,1,7,9,0,0,4,2,22.2,5.12.2017
Donovan Mitchell,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,2175,11,22,5,12,4,5,0,1,4,5,0,5,3,21.5,5.12.2017
DeMar DeRozan,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,2057,7,17,0,1,6,7,0,7,8,3,0,0,2,20.4,5.12.2017
Kyle Lowry,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,2109,7,12,5,10,1,2,1,5,10,2,0,4,2,20.4,5.12.2017
Steven Adams,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,1975,9,10,0,0,2,3,6,3,1,1,0,2,3,19.8,5.12.2017
Serge Ibaka,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,1979,8,13,2,5,1,1,0,6,1,1,3,0,3,17.5,5.12.2017
Devin Booker,PHOENIX SUNS,AWAY,TORONTO RAPTORS,LOSS,2356,4,15,1,5,10,12,0,5,8,2,1,1,4,16.5,5.12.2017
Kelly Oubre,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1591,6,9,2,3,0,0,0,2,2,5,0,1,0,16.1,5.12.2017
Thabo Sefolosha,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,1279,5,8,1,2,0,0,2,6,0,4,2,0,1,15.6,5.12.2017
Greg Monroe,PHOENIX SUNS,AWAY,TORONTO RAPTORS,LOSS,1555,3,4,0,0,5,6,0,10,3,3,0,3,3,12.9,5.12.2017
Joe Ingles,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,2068,6,13,4,11,0,0,0,2,4,1,1,1,2,12.6,5.12.2017
Mike Scott,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,967,5,5,0,0,0,0,2,5,1,1,1,1,1,12.4,5.12.2017
Jared Dudley,PHOENIX SUNS,AWAY,TORONTO RAPTORS,LOSS,1485,3,6,2,4,4,4,0,5,3,1,0,0,5,11.6,5.12.2017
Jusuf Nurkic,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,LOSS,1715,5,12,0,0,5,8,2,7,2,0,3,2,4,10.8,5.12.2017
Jakob Poeltl,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,1360,5,8,0,0,3,3,2,3,0,0,1,0,4,10.8,5.12.2017
Paul George,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,2388,7,13,2,3,5,8,0,3,1,2,0,6,1,10.7,5.12.2017
OG Anunoby,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,1462,6,9,4,5,0,0,1,1,0,1,0,2,4,10.5,5.12.2017
C.J. Miles,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,1101,4,9,3,7,4,5,0,1,1,0,0,0,3,9.7,5.12.2017
Alex Len,PHOENIX SUNS,AWAY,TORONTO RAPTORS,LOSS,1085,6,9,0,0,2,4,0,7,1,0,1,2,3,9.6,5.12.2017
Fred VanVleet,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,1282,4,10,1,5,4,4,0,0,6,0,0,2,1,9.4,5.12.2017
Carmelo Anthony,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,2091,6,19,0,5,2,2,1,8,1,2,1,0,1,9.2,5.12.2017
Tim Frazier,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1418,3,6,1,2,0,0,1,2,3,3,0,0,3,9.2,5.12.2017
Mike James,PHOENIX SUNS,AWAY,TORONTO RAPTORS,LOSS,945,5,7,0,1,0,0,0,0,1,1,1,0,1,9.1,5.12.2017
Andre Roberson,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,2037,2,2,0,0,0,0,2,2,0,2,3,0,1,9.1,5.12.2017
Al-Farouq Aminu,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,LOSS,2147,6,10,5,8,0,0,0,6,0,0,1,4,5,8.9,5.12.2017
Marcin Gortat,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1360,1,6,0,0,2,2,2,5,7,2,0,1,2,8.2,5.12.2017
Josh Jackson,PHOENIX SUNS,AWAY,TORONTO RAPTORS,LOSS,1630,3,6,0,2,7,10,0,1,2,0,0,2,1,8.1,5.12.2017
Troy Daniels,PHOENIX SUNS,AWAY,TORONTO RAPTORS,LOSS,1265,5,10,3,7,0,0,0,2,1,0,0,1,1,7.9,5.12.2017
CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,LOSS,2206,6,16,1,3,1,2,1,5,3,1,0,1,5,7.1,5.12.2017
Ricky Rubio,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,2058,3,6,1,2,0,0,2,2,5,2,0,4,1,7.1,5.12.2017
Tomas Satoransky,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1462,3,5,1,3,0,0,0,4,3,0,0,0,3,6.8,5.12.2017
Derrick Favors,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,1365,4,9,0,0,1,1,3,3,0,0,1,0,4,6.4,5.12.2017
Alec Burks,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,1291,2,9,0,2,7,9,1,1,5,1,0,4,2,5.4,5.12.2017
Pascal Siakam,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,901,1,4,0,1,0,0,1,5,3,3,0,1,3,4.7,5.12.2017
