name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
James Harden,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,2115,19,25,7,8,11,12,0,2,13,2,0,7,3,49.2,5.11.2017
Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,2224,10,18,1,5,15,15,1,4,13,0,1,2,2,36.3,5.11.2017
Kristaps Porzingis,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,2296,15,24,2,4,8,9,0,8,1,0,6,1,2,34.3,5.11.2017
Bradley Beal,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,WIN,2381,16,26,4,6,2,3,1,4,4,1,0,4,1,27.1,5.11.2017
LeBron James,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,2435,10,17,0,3,6,6,2,3,13,1,2,6,4,24.3,5.11.2017
Dennis Schroder,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,1859,9,13,2,3,8,8,0,3,9,0,0,6,5,21.7,5.11.2017
Hassan Whiteside,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,WIN,1887,9,16,0,0,3,3,6,11,1,3,2,3,4,21.4,5.11.2017
Dwyane Wade,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,1933,8,19,1,5,8,8,3,8,6,0,1,1,5,21.3,5.11.2017
Jusuf Nurkic,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,1973,11,15,0,0,3,5,1,7,3,3,2,5,4,20.8,5.11.2017
Jeff Teague,MINNESOTA TIMBERWOLVES,HOME,CHARLOTTE HORNETS,WIN,2031,7,15,4,5,0,0,1,4,12,0,1,1,2,19.5,5.11.2017
Tyreke Evans,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1945,10,16,3,6,3,3,0,1,2,1,0,1,3,19.3,5.11.2017
LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,WIN,1777,9,13,0,1,3,6,2,7,2,1,0,1,0,19.2,5.11.2017
Kyle Korver,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,1419,8,14,5,11,2,3,2,3,0,0,1,0,1,18.6,5.11.2017
Paul George,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2385,10,21,4,9,3,4,0,5,2,3,0,3,1,18.4,5.11.2017
Mike Conley,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1892,9,17,3,8,2,3,0,5,3,1,1,2,0,17.6,5.11.2017
Aaron Gordon,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,2056,6,13,1,3,5,5,2,10,2,1,1,1,2,17.0,5.11.2017
Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2139,10,25,3,10,2,7,0,6,9,2,0,1,4,17.0,5.11.2017
Otto Porter,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,WIN,2006,8,13,3,4,0,0,0,5,2,2,1,1,2,16.9,5.11.2017
DeAndre Jordan,LOS ANGELES CLIPPERS,HOME,MIAMI HEAT,LOSS,2019,4,8,0,0,2,3,11,8,3,0,1,1,2,16.7,5.11.2017
Blake Griffin,LOS ANGELES CLIPPERS,HOME,MIAMI HEAT,LOSS,2215,8,18,2,5,5,7,1,7,4,2,0,2,5,16.4,5.11.2017
Gorgui Dieng,MINNESOTA TIMBERWOLVES,HOME,CHARLOTTE HORNETS,WIN,1126,3,7,0,0,9,10,4,7,0,0,0,0,0,15.8,5.11.2017
Norman Powell,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,LOSS,2051,7,13,1,4,4,4,0,1,2,2,2,2,0,15.8,5.11.2017
Andrew Wiggins,MINNESOTA TIMBERWOLVES,HOME,CHARLOTTE HORNETS,WIN,2114,8,12,1,2,3,5,0,3,2,0,1,1,1,15.6,5.11.2017
Darren Collison,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,2292,6,13,1,3,2,2,1,4,10,2,0,3,2,15.4,5.11.2017
Nikola Vucevic,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,1946,6,15,1,4,0,0,1,9,7,2,0,0,0,15.2,5.11.2017
Patty Mills,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,WIN,1537,7,11,3,5,0,0,0,4,4,0,0,1,0,15.1,5.11.2017
DeMar DeRozan,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,LOSS,2231,8,21,0,5,10,12,2,2,3,0,0,2,2,15.0,5.11.2017
Kent Bazemore,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,2124,4,11,2,6,4,8,2,7,7,1,2,1,3,14.9,5.11.2017
Brook Lopez,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,1860,7,14,4,6,3,6,1,0,5,1,2,3,4,14.8,5.11.2017
Thaddeus Young,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,2150,7,11,4,4,0,0,0,5,3,0,0,1,4,14.1,5.11.2017
Brandon Ingram,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,2297,7,14,0,0,6,6,1,6,1,0,0,1,3,14.0,5.11.2017
Tyler Johnson,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,WIN,2001,7,15,3,10,2,2,0,2,3,3,0,2,3,13.8,5.11.2017
Domantas Sabonis,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,1761,6,9,0,0,4,4,2,6,3,0,0,3,2,13.6,5.11.2017
Marcus Smart,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,1723,4,12,2,6,1,1,1,7,8,3,1,2,2,13.5,5.11.2017
Wayne Ellington,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,WIN,1626,6,11,5,9,0,0,0,1,2,0,1,0,2,13.3,5.11.2017
Cody Zeller,CHARLOTTE HORNETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1332,6,10,0,0,4,7,5,6,0,0,1,1,5,13.2,5.11.2017
Luke Babbitt,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,2497,6,13,4,8,1,2,0,3,2,1,1,0,2,13.1,5.11.2017
Jordan Clarkson,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,1229,6,10,1,1,2,2,0,4,5,2,0,4,0,13.1,5.11.2017
Trevor Ariza,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,2019,5,10,4,8,0,0,1,0,2,2,0,0,1,12.7,5.11.2017
Jaylen Brown,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,1678,7,13,3,5,1,3,2,5,1,2,0,3,2,12.7,5.11.2017
Alex Len,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,1085,5,5,0,0,2,4,0,3,1,2,1,1,1,12.6,5.11.2017
