name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,2744,10,23,2,6,24,26,2,13,4,2,1,2,3,40.7,23.1.2009
Gerald Wallace,CHARLOTTE BOBCATS,HOME,PHOENIX SUNS,WIN,2241,11,13,3,3,3,5,1,7,5,5,2,1,1,33.8,23.1.2009
Eric Gordon,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,WIN,2617,12,19,5,7,12,14,0,2,4,1,0,2,4,32.5,23.1.2009
Tim Duncan,SAN ANTONIO SPURS,HOME,NEW JERSEY NETS,WIN,2069,13,21,0,0,4,4,4,11,5,0,4,4,2,28.1,23.1.2009
LeBron James,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,WIN,2439,10,24,2,5,10,16,2,7,8,3,2,2,2,27.5,23.1.2009
Jose Calderon,TORONTO RAPTORS,AWAY,CHICAGO BULLS,WIN,1767,9,10,1,1,4,4,0,2,10,0,0,0,2,26.4,23.1.2009
Boris Diaw,CHARLOTTE BOBCATS,HOME,PHOENIX SUNS,WIN,1932,10,16,3,4,3,3,2,9,4,2,1,2,4,24.8,23.1.2009
Ronald Murray,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1366,11,13,2,2,1,1,0,2,3,2,0,0,2,24.2,23.1.2009
Josh Smith,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1934,11,15,0,0,2,4,2,6,1,1,3,1,0,23.1,23.1.2009
Vince Carter,NEW JERSEY NETS,AWAY,SAN ANTONIO SPURS,LOSS,2387,9,18,2,3,6,6,0,3,6,1,0,0,1,22.7,23.1.2009
Al Thornton,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,WIN,2800,13,28,2,2,6,6,1,4,1,1,3,1,4,22.7,23.1.2009
Al Jefferson,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS HORNETS,WIN,2147,10,19,0,0,4,5,5,9,1,0,2,0,1,22.2,23.1.2009
Randy Foye,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS HORNETS,WIN,2419,7,19,4,8,6,7,1,4,8,1,1,0,1,21.9,23.1.2009
Charlie Villanueva,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,1574,10,14,5,6,2,2,0,7,2,1,0,3,2,21.9,23.1.2009
Danny Granger,INDIANA PACERS,HOME,HOUSTON ROCKETS,WIN,2306,5,19,3,5,12,12,0,6,5,2,3,2,1,20.7,23.1.2009
Stephen Jackson,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,LOSS,2526,6,15,2,5,10,12,3,5,8,0,2,5,2,19.9,23.1.2009
Brandon Bass,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,WIN,1724,8,12,0,0,2,2,3,3,3,1,1,0,0,19.6,23.1.2009
Mike Conley,MEMPHIS GRIZZLIES,AWAY,NEW YORK KNICKS,LOSS,1823,5,8,4,5,4,4,0,6,4,2,0,1,1,19.6,23.1.2009
Chris Paul,NEW ORLEANS HORNETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2307,8,15,0,1,7,8,0,3,12,1,0,4,5,19.6,23.1.2009
Devin Harris,NEW JERSEY NETS,AWAY,SAN ANTONIO SPURS,LOSS,2406,9,19,1,3,8,8,0,2,3,4,0,4,3,18.8,23.1.2009
