name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
David West,NEW ORLEANS HORNETS,AWAY,SACRAMENTO KINGS,WIN,2566,15,25,0,0,10,10,3,6,6,1,1,3,1,34.9,31.3.2009
Josh Smith,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,2435,13,15,3,3,4,4,0,5,1,2,2,4,2,28.5,31.3.2009
Brandon Roy,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,2301,10,14,2,3,3,5,1,5,11,2,1,2,3,27.8,31.3.2009
Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,SAN ANTONIO SPURS,WIN,2669,12,19,1,2,6,8,0,8,2,1,0,2,0,24.5,31.3.2009
Gerald Wallace,CHARLOTTE BOBCATS,HOME,LOS ANGELES LAKERS,WIN,2420,10,16,0,2,1,2,1,12,4,0,5,0,1,23.6,31.3.2009
Tim Duncan,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,LOSS,2160,9,12,0,0,3,7,5,7,4,0,2,1,1,23.0,31.3.2009
Danny Granger,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,2201,11,19,4,10,5,6,2,2,1,1,2,3,2,23.0,31.3.2009
T.J. Ford,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,2335,10,15,0,1,2,2,0,4,9,1,2,1,4,22.8,31.3.2009
Nate Robinson,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,1827,9,16,4,8,8,9,0,4,3,0,0,1,4,22.7,31.3.2009
Kevin Love,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,2149,9,17,0,1,5,6,3,9,3,2,0,0,2,22.4,31.3.2009
Derrick Rose,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,2386,12,21,0,0,0,1,2,9,6,0,0,0,1,21.6,31.3.2009
LaMarcus Aldridge,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,2070,10,16,0,0,6,6,1,4,2,0,1,1,2,21.0,31.3.2009
LeBron James,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,2436,9,24,0,2,7,8,1,11,3,3,1,1,0,20.2,31.3.2009
Al Harrington,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,2157,7,17,1,5,8,9,1,4,3,4,1,2,3,19.0,31.3.2009
Kirk Hinrich,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,2347,8,13,2,3,2,4,1,6,7,2,0,3,2,18.9,31.3.2009
Andre Miller,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,2493,6,15,0,2,6,7,2,2,10,2,0,1,2,18.7,31.3.2009
Andre Iguodala,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,2602,6,13,1,5,6,8,1,2,8,2,0,1,2,18.6,31.3.2009
Pau Gasol,LOS ANGELES LAKERS,AWAY,CHARLOTTE BOBCATS,LOSS,2686,8,17,0,0,0,0,5,6,7,1,2,1,1,18.5,31.3.2009
Nene Hilario,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,2000,7,12,0,0,4,7,4,8,1,4,3,4,4,17.6,31.3.2009
Carmelo Anthony,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,2113,13,20,1,3,2,6,0,4,4,0,0,4,3,17.4,31.3.2009
Andres Nocioni,SACRAMENTO KINGS,HOME,NEW ORLEANS HORNETS,LOSS,2062,8,14,5,6,2,2,2,4,1,1,0,2,4,17.1,31.3.2009
Dirk Nowitzki,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1929,11,19,0,1,1,1,2,10,0,1,0,2,1,17.1,31.3.2009
Chris Paul,NEW ORLEANS HORNETS,AWAY,SACRAMENTO KINGS,WIN,2511,5,15,0,1,5,6,0,8,15,1,0,1,5,17.0,31.3.2009
Nicolas Batum,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,2126,7,10,3,5,0,0,3,2,2,1,1,1,2,16.8,31.3.2009
Ronald Murray,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,1939,5,14,1,2,8,8,2,3,6,3,0,3,3,16.5,31.3.2009
J.R. Smith,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,1542,6,13,4,9,1,2,1,3,3,3,0,0,1,16.2,31.3.2009
Spencer Hawes,SACRAMENTO KINGS,HOME,NEW ORLEANS HORNETS,LOSS,2141,6,13,1,3,4,4,2,4,5,0,2,1,2,16.0,31.3.2009
Emeka Okafor,CHARLOTTE BOBCATS,HOME,LOS ANGELES LAKERS,WIN,2137,3,4,0,0,7,9,2,7,2,3,3,4,3,15.4,31.3.2009
Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,SAN ANTONIO SPURS,WIN,2253,6,15,0,1,4,6,2,1,10,2,0,2,1,15.4,31.3.2009
